id,old_id,created_at
6899,NULL,07-02-2022 12:10
6900,NULL,07-02-2022 15:50
6901,NULL,07-02-2022 16:57
6902,NULL,07-02-2022 17:35
6903,NULL,07-02-2022 18:57
6904,NULL,08-02-2022 11:09
6905,NULL,08-02-2022 11:52
6906,NULL,08-02-2022 12:04
6908,NULL,08-02-2022 13:50
6909,NULL,08-02-2022 15:36
6910,NULL,08-02-2022 16:42
6911,NULL,08-02-2022 18:47
6913,NULL,09-02-2022 11:53
6914,NULL,09-02-2022 12:41
6915,NULL,09-02-2022 13:01
6916,NULL,09-02-2022 13:16
6917,NULL,09-02-2022 15:57
6918,NULL,09-02-2022 16:59
6919,NULL,09-02-2022 18:43
6920,NULL,10-02-2022 10:42
6921,NULL,10-02-2022 12:27
6922,NULL,10-02-2022 12:45
6923,NULL,10-02-2022 14:56
6924,NULL,10-02-2022 13:59
6925,NULL,10-02-2022 17:11
6926,NULL,10-02-2022 15:59
6927,NULL,11-02-2022 11:42
6928,NULL,11-02-2022 12:49
6929,NULL,11-02-2022 13:43
6930,NULL,11-02-2022 15:41
6931,NULL,11-02-2022 17:05
6932,NULL,11-02-2022 17:39
6933,NULL,11-02-2022 18:22
6934,NULL,14-02-2022 10:23
6935,NULL,14-02-2022 11:58
6936,NULL,14-02-2022 12:58
6937,NULL,14-02-2022 13:59
6938,NULL,14-02-2022 15:05
6939,NULL,14-02-2022 17:29
6940,NULL,14-02-2022 16:52
6941,NULL,15-02-2022 10:12
6942,NULL,15-02-2022 11:59
6943,NULL,15-02-2022 11:53
6944,NULL,15-02-2022 13:04
6945,NULL,15-02-2022 13:39
6946,NULL,15-02-2022 16:55
6947,NULL,15-02-2022 17:15
6948,NULL,16-02-2022 10:48
6949,NULL,16-02-2022 12:20
6950,NULL,16-02-2022 13:18
6951,NULL,16-02-2022 14:04
6952,NULL,16-02-2022 16:03
6953,NULL,16-02-2022 18:20
6954,NULL,16-02-2022 18:54
6955,NULL,10-01-2022 10:32
6956,NULL,17-02-2022 11:26
6957,NULL,17-02-2022 12:00
6958,NULL,17-02-2022 12:59
6959,NULL,14-01-2022 11:19
6960,NULL,17-02-2022 13:34
6961,NULL,17-02-2022 15:20
6962,NULL,17-02-2022 16:46
6963,NULL,17-02-2022 18:46
6964,NULL,18-02-2022 10:11
6965,NULL,18-02-2022 11:17
6966,NULL,18-02-2022 12:29
6967,NULL,18-02-2022 12:58
6968,NULL,18-02-2022 15:03
6969,NULL,18-02-2022 16:47
6970,NULL,18-02-2022 18:53
6971,NULL,21-02-2022 10:22
6972,NULL,21-02-2022 11:06
6973,NULL,21-02-2022 12:05
6974,NULL,21-02-2022 13:37
6975,NULL,21-02-2022 15:47
6976,NULL,21-02-2022 16:48
6977,NULL,21-02-2022 18:36
6978,NULL,22-02-2022 10:39
6979,NULL,22-02-2022 11:40
6980,NULL,22-02-2022 11:52
6981,NULL,22-02-2022 13:49
6982,NULL,22-02-2022 15:26
6983,NULL,22-02-2022 16:16
6984,NULL,22-02-2022 18:56
6985,NULL,23-02-2022 10:48
6986,NULL,23-02-2022 09:42
6987,NULL,23-02-2022 11:57
6988,NULL,23-02-2022 13:34
6989,NULL,23-02-2022 15:16
6990,NULL,23-02-2022 16:59
6991,NULL,23-02-2022 18:45
6992,NULL,24-02-2022 10:05
6993,NULL,24-02-2022 11:30
6994,NULL,24-02-2022 11:49
6995,NULL,24-02-2022 12:27
6996,NULL,24-02-2022 16:05
6997,NULL,24-02-2022 17:34
6998,NULL,24-02-2022 18:16
6999,NULL,25-02-2022 11:19
7000,NULL,25-02-2022 12:07
7001,NULL,25-02-2022 12:44
7002,NULL,25-02-2022 13:13
7003,NULL,25-02-2022 15:09
7004,NULL,25-02-2022 16:09
7005,NULL,25-02-2022 17:43
7006,NULL,28-02-2022 09:58
7007,NULL,28-02-2022 12:57
7008,NULL,28-02-2022 13:36
7009,NULL,28-02-2022 14:08
7010,NULL,28-02-2022 15:34
7011,NULL,28-02-2022 16:07
7012,NULL,28-02-2022 18:07
7013,NULL,01-03-2022 10:28
7014,NULL,01-03-2022 11:25
7015,NULL,01-03-2022 11:48
7016,NULL,07-02-2022 13:15
7017,NULL,09-02-2022 15:34
7018,NULL,01-03-2022 16:02
7019,NULL,21-02-2022 16:13
7020,NULL,01-02-2022 15:45
7021,NULL,01-03-2022 16:18
